ID da Venda,Data da Venda,Preço,Preço Original,Desconto Aplicado,Produto,Categoria,Marca,Canal de Venda,Região,Nome do Funcionário,Quantidade de Vendas,Quantidade em Estoque,Avaliação
V026519,2024-08-23,1135.84,1342.75,206.91,Placa Mãe,Componentes,Intel,Loja Física,Sudeste,Carlos Silva,43,170,1.0
V026520,2024-01-20,3473.36,3762.13,288.77,Notebook,Informática,Dell,Loja Física,Sul,Daniela Souza,61,67,1.1
V026521,2024-05-22,1280.4,1659.0,378.6,HD Externo,Armazenamento,Kingston,E-commerce,Nordeste,Daniela Souza,65,166,3.0
V026522,2024-10-20,908.97,1067.75,158.78,Memória RAM,Componentes,Corsair,Loja Física,Centro-Oeste,Daniela Souza,31,141,2.7
V026523,2024-07-01,64.41,90.61,26.2,Adaptador Bluetooth,Acessórios,Genérico,Marketplace,Norte,Bruno Lima,29,166,4.9
V026524,2024-09-22,173.86,226.26,52.4,Cooler,Componentes,NVIDIA,Marketplace,Norte,Bruno Lima,96,13,2.6
V026525,2024-10-12,465.67,649.04,183.37,Estabilizador,Componentes,NVIDIA,Venda Direta,Centro-Oeste,Ana Costa,32,88,3.7
V026526,2024-10-26,4024.21,5621.79,1597.58,Tablet,Eletrônicos,Samsung,Marketplace,Sudeste,Eduardo Rocha,63,10,2.9
V026527,2024-12-21,1587.28,1719.27,131.99,Smartphone,Eletrônicos,Samsung,E-commerce,Sudeste,Carlos Silva,93,48,3.2
V026528,2025-01-25,81.7,112.59,30.89,Cooler,Componentes,Intel,E-commerce,Sudeste,Carlos Silva,67,74,2.9
V026529,2023-10-09,752.95,767.82,14.87,Dock Station,Periféricos,Dell,Venda Direta,Sul,Ana Costa,86,83,4.5
V026530,2025-02-18,2591.36,3050.28,458.92,Notebook,Informática,Dell,Venda Direta,Nordeste,Carlos Silva,34,3,4.7
V026531,2024-06-03,59.89,63.73,3.84,Adaptador Bluetooth,Acessórios,Anker,Loja Física,Sudeste,Eduardo Rocha,18,194,4.3
V026532,2023-02-23,5431.3,6214.89,783.59,Processador,Componentes,AMD,Marketplace,Centro-Oeste,Ana Costa,70,58,1.7
V026533,2023-06-06,198.8,203.22,4.42,Mouse,Periféricos,Multilaser,Marketplace,Nordeste,Daniela Souza,85,87,1.4
V026534,2025-01-17,268.16,288.98,20.82,Impressora,Periféricos,Dell,Loja Física,Sul,Fernanda Alves,48,128,1.7
V026535,2023-10-23,108.02,129.09,21.07,Webcam,Periféricos,Logitech,Marketplace,Nordeste,Eduardo Rocha,75,53,1.9
V026536,2024-06-30,50.97,70.22,19.25,Pen Drive,Armazenamento,Kingston,Marketplace,Centro-Oeste,Fernanda Alves,37,26,1.5
V026537,2025-04-09,6223.39,7913.24,1689.85,Placa de Vídeo,Componentes,Corsair,Marketplace,Norte,Daniela Souza,15,14,3.9
V026538,2024-06-20,93.64,108.0,14.36,Pen Drive,Armazenamento,Western Digital,E-commerce,Centro-Oeste,Carlos Silva,19,125,2.0
V026539,2023-06-20,423.56,592.91,169.35,Microfone,Áudio e Vídeo,Philips,Loja Física,Centro-Oeste,Fernanda Alves,66,199,3.0
V026540,2024-06-29,196.04,200.58,4.54,Lâmpada Inteligente,Eletrônicos,Samsung,Marketplace,Centro-Oeste,Carlos Silva,28,165,3.2
V026541,2024-02-29,591.38,780.91,189.53,HD Externo,Armazenamento,Kingston,E-commerce,Nordeste,Bruno Lima,30,199,2.2
V026542,2023-11-02,5806.51,6654.09,847.58,Tablet,Eletrônicos,Xiaomi,Marketplace,Sul,Carlos Silva,86,195,1.9
V026543,2023-12-09,359.91,415.49,55.58,Ring Light,Acessórios,Anker,E-commerce,Nordeste,Carlos Silva,88,129,4.8
V026544,2023-07-02,647.48,682.37,34.89,Câmera,Áudio e Vídeo,Philips,Venda Direta,Sul,Bruno Lima,2,11,1.3
V026545,2024-03-13,1004.09,1033.64,29.55,SSD,Armazenamento,Western Digital,Loja Física,Sul,Daniela Souza,58,111,4.5
V026546,2024-03-24,434.85,478.85,44.0,Scanner,Periféricos,HP,Venda Direta,Nordeste,Ana Costa,50,76,1.5
V026547,2024-08-24,453.49,603.19,149.7,Estabilizador,Componentes,NVIDIA,E-commerce,Nordeste,Bruno Lima,98,11,4.1
V026548,2023-02-09,63.21,78.8,15.59,Hub USB,Acessórios,Belkin,Venda Direta,Centro-Oeste,Carlos Silva,30,3,2.9
V026549,2025-01-08,180.05,256.17,76.12,TV Box,Áudio e Vídeo,Sony,E-commerce,Norte,Eduardo Rocha,34,33,3.0
V026550,2023-09-28,1286.91,1477.48,190.57,No-Break,Componentes,AMD,Marketplace,Nordeste,Daniela Souza,80,193,4.4
V026551,2023-02-12,837.69,964.94,127.25,Câmera,Áudio e Vídeo,JBL,Marketplace,Norte,Ana Costa,97,31,3.7
V026552,2024-02-26,78.32,82.11,3.79,Leitor de Cartão,Acessórios,Baseus,E-commerce,Centro-Oeste,Ana Costa,96,97,3.1
V026553,2025-01-08,198.21,199.36,1.15,Mouse,Periféricos,Logitech,Marketplace,Sudeste,Bruno Lima,84,114,4.5
V026554,2024-05-25,1040.87,1115.66,74.79,Câmera,Áudio e Vídeo,Philips,Marketplace,Sul,Ana Costa,89,17,1.5
V026555,2024-01-30,1474.92,1741.91,266.99,SSD,Armazenamento,Seagate,Marketplace,Sul,Daniela Souza,73,35,4.9
V026556,2025-04-06,443.18,579.22,136.04,Estabilizador,Componentes,AMD,Loja Física,Centro-Oeste,Eduardo Rocha,74,56,4.1
V026557,2023-03-01,242.39,314.56,72.17,Carregador Portátil,Acessórios,Baseus,Marketplace,Nordeste,Ana Costa,2,87,1.3
V026558,2024-10-25,415.43,529.4,113.97,Scanner,Periféricos,Dell,E-commerce,Norte,Daniela Souza,38,97,4.0
V026559,2024-05-03,6222.81,6248.46,25.65,Tablet,Eletrônicos,Apple,Marketplace,Norte,Eduardo Rocha,87,53,3.0
V026560,2024-10-11,216.78,254.35,37.57,Câmera,Áudio e Vídeo,JBL,Marketplace,Nordeste,Bruno Lima,15,156,2.5
V026561,2023-06-13,364.22,470.13,105.91,Fonte de Alimentação,Componentes,Corsair,Loja Física,Centro-Oeste,Daniela Souza,99,60,2.7
V026562,2023-05-25,110.76,146.03,35.27,Tripé,Acessórios,Anker,Marketplace,Sudeste,Carlos Silva,57,150,4.6
V026563,2023-11-20,644.37,650.22,5.85,Placa Mãe,Componentes,NVIDIA,Loja Física,Centro-Oeste,Bruno Lima,62,54,2.8
V026564,2024-03-07,151.13,167.79,16.66,Hub USB,Acessórios,Anker,Venda Direta,Nordeste,Ana Costa,80,101,2.1
V026565,2023-04-04,329.19,332.33,3.14,Gabinete,Componentes,Intel,Marketplace,Nordeste,Ana Costa,59,25,1.3
V026566,2023-09-27,6834.9,8123.45,1288.55,Notebook,Informática,Asus,E-commerce,Sul,Daniela Souza,91,160,2.5
V026567,2024-01-18,98.49,115.79,17.3,TV Box,Áudio e Vídeo,Sony,E-commerce,Norte,Eduardo Rocha,26,40,4.0
V026568,2024-11-14,153.55,187.78,34.23,Microfone,Áudio e Vídeo,Sony,Marketplace,Nordeste,Bruno Lima,36,35,4.7
V026569,2023-11-17,112.1,138.08,25.98,Webcam,Periféricos,Multilaser,E-commerce,Nordeste,Eduardo Rocha,11,77,5.0
V026570,2023-05-06,689.14,818.2,129.06,SSD,Armazenamento,Kingston,Marketplace,Sul,Daniela Souza,41,114,4.1
V026571,2024-10-14,64.67,76.5,11.83,Lâmpada Inteligente,Eletrônicos,Xiaomi,Venda Direta,Norte,Daniela Souza,8,177,2.0
V026572,2024-11-01,66.4,82.36,15.96,Mouse,Periféricos,Logitech,Loja Física,Norte,Fernanda Alves,87,83,3.2
V026573,2024-05-26,928.29,1282.6,354.31,Gabinete,Componentes,Intel,E-commerce,Sudeste,Bruno Lima,88,92,3.1
V026574,2023-07-31,638.21,668.39,30.18,Fonte de Alimentação,Componentes,AMD,Marketplace,Centro-Oeste,Carlos Silva,5,121,1.1
V026575,2023-11-14,1423.15,1469.27,46.12,Monitor,Periféricos,Dell,Loja Física,Centro-Oeste,Fernanda Alves,16,117,5.0
V026576,2023-01-11,366.73,490.1,123.37,Impressora,Periféricos,Logitech,E-commerce,Sul,Bruno Lima,37,125,1.0
V026577,2024-01-27,628.07,636.17,8.1,TV Box,Áudio e Vídeo,Sony,Loja Física,Sul,Daniela Souza,3,167,1.2
V026578,2025-02-22,1070.93,1383.64,312.71,Câmera,Áudio e Vídeo,JBL,Marketplace,Sul,Eduardo Rocha,52,110,2.3
V026579,2023-06-07,608.91,694.23,85.32,Memória RAM,Componentes,Intel,E-commerce,Centro-Oeste,Carlos Silva,34,181,2.4
V026580,2024-07-05,148.83,159.73,10.9,Cooler,Componentes,AMD,E-commerce,Sudeste,Bruno Lima,79,4,2.6
V026581,2024-12-30,191.67,268.37,76.7,Hub USB,Acessórios,Belkin,Venda Direta,Nordeste,Carlos Silva,95,1,1.1
V026582,2025-04-01,380.15,457.2,77.05,Impressora,Periféricos,Dell,Venda Direta,Sul,Fernanda Alves,94,118,2.6
V026583,2024-03-31,346.72,488.39,141.67,Roteador,Rede,TP-Link,E-commerce,Sudeste,Daniela Souza,52,198,1.2
V026584,2023-08-24,3668.92,4445.95,777.03,Smartphone,Eletrônicos,Xiaomi,E-commerce,Sul,Ana Costa,12,52,3.7
V026585,2025-04-07,5727.91,6972.87,1244.96,Smartphone,Eletrônicos,Samsung,Loja Física,Centro-Oeste,Ana Costa,24,3,4.8
V026586,2025-04-17,372.21,492.36,120.15,Caixa de Som,Áudio e Vídeo,JBL,Marketplace,Norte,Eduardo Rocha,7,72,2.5
V026587,2023-10-19,613.3,633.23,19.93,Scanner,Periféricos,HP,Loja Física,Centro-Oeste,Eduardo Rocha,77,135,3.2
V026588,2024-05-18,6840.64,9598.77,2758.13,Tablet,Eletrônicos,Samsung,Loja Física,Nordeste,Bruno Lima,67,153,4.6
V026589,2023-05-29,100.81,116.34,15.53,Lâmpada Inteligente,Eletrônicos,LG,Loja Física,Sul,Carlos Silva,76,122,2.4
V026590,2023-02-26,1064.55,1378.97,314.42,HD Externo,Armazenamento,SanDisk,E-commerce,Centro-Oeste,Carlos Silva,99,16,2.4
V026591,2023-01-13,64.4,85.98,21.58,Leitor de Cartão,Acessórios,Anker,Loja Física,Sudeste,Daniela Souza,44,160,1.5
V026592,2023-01-05,327.99,364.21,36.22,Impressora,Periféricos,HP,Venda Direta,Sudeste,Daniela Souza,1,38,1.8
V026593,2024-04-27,549.25,645.01,95.76,TV Box,Áudio e Vídeo,Sony,Marketplace,Sudeste,Ana Costa,36,112,4.9
V026594,2024-10-20,716.85,863.15,146.3,Fonte de Alimentação,Componentes,Corsair,Venda Direta,Norte,Daniela Souza,17,134,4.6
V026595,2024-02-08,109.33,121.69,12.36,Pen Drive,Armazenamento,Kingston,Venda Direta,Sul,Eduardo Rocha,38,49,2.7
V026596,2024-05-05,776.87,784.86,7.99,Smartwatch,Eletrônicos,Xiaomi,Venda Direta,Norte,Bruno Lima,87,146,2.4
V026597,2025-02-05,147.28,167.56,20.28,Adaptador Bluetooth,Acessórios,Baseus,Venda Direta,Centro-Oeste,Eduardo Rocha,35,102,1.6
V026598,2024-02-14,1204.61,1493.17,288.56,Impressora,Periféricos,HP,E-commerce,Sul,Daniela Souza,54,172,2.9
V026599,2024-09-13,363.51,457.57,94.06,Controle de Videogame,Acessórios,Belkin,Marketplace,Norte,Eduardo Rocha,98,172,2.8
V026600,2024-01-09,155.7,212.03,56.33,Carregador Portátil,Acessórios,Baseus,Venda Direta,Sul,Daniela Souza,25,112,1.8
V026601,2023-11-30,1491.24,2051.14,559.9,Caixa de Som,Áudio e Vídeo,Sony,E-commerce,Sudeste,Ana Costa,25,49,2.5
V026602,2023-10-13,264.51,324.45,59.94,Tripé,Acessórios,Belkin,E-commerce,Centro-Oeste,Carlos Silva,76,168,3.1
V026603,2024-04-20,2822.94,3847.19,1024.25,Notebook,Informática,Asus,Venda Direta,Norte,Daniela Souza,49,59,3.2
V026604,2024-11-13,397.37,405.02,7.65,TV Box,Áudio e Vídeo,Bose,Loja Física,Centro-Oeste,Bruno Lima,96,65,3.8
V026605,2023-05-11,954.88,957.06,2.18,Dock Station,Periféricos,Multilaser,Marketplace,Sul,Bruno Lima,3,158,1.4
V026606,2023-10-17,319.31,362.87,43.56,Ring Light,Acessórios,Genérico,Venda Direta,Sul,Daniela Souza,76,184,2.2
V026607,2023-10-09,5869.27,6899.81,1030.54,Placa de Vídeo,Componentes,AMD,Marketplace,Centro-Oeste,Ana Costa,43,148,2.4
V026608,2024-05-26,1743.58,2231.62,488.04,Placa de Vídeo,Componentes,Corsair,Loja Física,Sul,Bruno Lima,17,1,1.2
V026609,2023-07-05,308.37,390.17,81.8,Controle de Videogame,Acessórios,Baseus,Marketplace,Sul,Eduardo Rocha,63,29,3.6
V026610,2024-08-30,416.4,420.78,4.38,Smartwatch,Eletrônicos,LG,Loja Física,Norte,Daniela Souza,46,199,3.3
V026611,2024-02-21,416.83,465.9,49.07,Tripé,Acessórios,Anker,Marketplace,Sul,Eduardo Rocha,57,56,3.1
V026612,2025-04-09,162.79,232.33,69.54,Mouse,Periféricos,HP,Loja Física,Sudeste,Eduardo Rocha,10,15,2.8
V026613,2025-03-06,493.54,657.6,164.06,Fone de Ouvido,Áudio e Vídeo,Sony,Venda Direta,Sudeste,Fernanda Alves,69,183,2.9
V026614,2024-07-09,278.82,282.26,3.44,Roteador,Rede,D-Link,Marketplace,Sudeste,Eduardo Rocha,34,33,4.6
V026615,2025-01-03,431.56,457.19,25.63,Webcam,Periféricos,Dell,Loja Física,Nordeste,Fernanda Alves,99,119,4.1
V026616,2023-05-26,939.79,971.77,31.98,Estabilizador,Componentes,Corsair,Venda Direta,Norte,Bruno Lima,90,9,4.5
V026617,2024-11-21,343.81,407.86,64.05,Roteador,Rede,Cisco,Venda Direta,Sul,Daniela Souza,8,123,2.2
V026618,2023-11-25,2147.33,2387.57,240.24,Notebook,Informática,Asus,Venda Direta,Norte,Fernanda Alves,19,169,3.8
V026619,2025-04-24,447.68,465.94,18.26,Smartwatch,Eletrônicos,Xiaomi,Loja Física,Sudeste,Carlos Silva,57,72,1.4
V026620,2023-05-20,109.09,137.61,28.52,Pen Drive,Armazenamento,Kingston,Loja Física,Centro-Oeste,Ana Costa,80,32,2.2
V026621,2024-09-26,5974.71,6647.35,672.64,Notebook,Informática,Lenovo,Venda Direta,Nordeste,Ana Costa,84,106,3.7
V026622,2024-07-10,656.1,722.05,65.95,Placa Mãe,Componentes,NVIDIA,E-commerce,Norte,Eduardo Rocha,37,3,3.5
V026623,2024-01-11,962.12,1267.72,305.6,Placa Mãe,Componentes,Intel,Loja Física,Centro-Oeste,Bruno Lima,71,17,3.1
V026624,2024-06-14,565.81,583.43,17.62,Impressora,Periféricos,Logitech,Loja Física,Centro-Oeste,Fernanda Alves,32,170,4.1
V026625,2023-12-04,261.1,315.22,54.12,Ring Light,Acessórios,Belkin,Venda Direta,Nordeste,Daniela Souza,95,151,2.8
V026626,2023-01-16,108.71,116.35,7.64,Microfone,Áudio e Vídeo,Philips,E-commerce,Centro-Oeste,Daniela Souza,29,183,4.2
V026627,2023-01-03,900.55,1211.36,310.81,Switch de Rede,Rede,TP-Link,Loja Física,Sudeste,Carlos Silva,56,194,2.7
V026628,2024-07-17,474.54,506.13,31.59,Fone de Ouvido,Áudio e Vídeo,Bose,Marketplace,Centro-Oeste,Carlos Silva,14,77,3.1
V026629,2025-04-03,891.67,1255.41,363.74,Fonte de Alimentação,Componentes,Intel,Venda Direta,Nordeste,Fernanda Alves,39,46,2.1
V026630,2024-09-16,190.89,205.44,14.55,Gabinete,Componentes,Corsair,Venda Direta,Centro-Oeste,Bruno Lima,97,30,4.3
V026631,2024-04-02,472.25,541.21,68.96,Microfone,Áudio e Vídeo,Philips,E-commerce,Sudeste,Eduardo Rocha,33,39,2.6
V026632,2023-08-24,148.13,211.11,62.98,Ring Light,Acessórios,Belkin,Loja Física,Centro-Oeste,Eduardo Rocha,52,16,1.5
V026633,2024-06-15,830.75,1055.3,224.55,Fonte de Alimentação,Componentes,Corsair,Loja Física,Sudeste,Eduardo Rocha,77,50,2.7
V026634,2024-04-29,6052.84,6072.88,20.04,Placa de Vídeo,Componentes,NVIDIA,Loja Física,Centro-Oeste,Ana Costa,99,121,4.0
V026635,2023-08-14,161.44,182.13,20.69,Cooler,Componentes,Corsair,E-commerce,Norte,Fernanda Alves,70,105,1.8
V026636,2023-06-27,491.44,551.27,59.83,Controle de Videogame,Acessórios,Baseus,Marketplace,Centro-Oeste,Daniela Souza,38,127,4.7
V026637,2024-02-20,311.79,354.68,42.89,Ring Light,Acessórios,Anker,Marketplace,Centro-Oeste,Carlos Silva,21,156,3.1
V026638,2023-09-05,554.23,639.39,85.16,Fonte de Alimentação,Componentes,Corsair,Loja Física,Norte,Ana Costa,20,18,1.6
V026639,2024-08-29,203.67,235.55,31.88,Memória RAM,Componentes,Corsair,Venda Direta,Nordeste,Eduardo Rocha,84,160,3.4
V026640,2024-06-07,3329.77,4176.06,846.29,Processador,Componentes,Intel,Marketplace,Centro-Oeste,Eduardo Rocha,85,84,2.4
V026641,2025-02-18,1224.66,1737.14,512.48,Impressora,Periféricos,Dell,Venda Direta,Sudeste,Eduardo Rocha,53,66,1.1
V026642,2023-12-20,611.92,687.27,75.35,Switch de Rede,Rede,Cisco,Marketplace,Norte,Bruno Lima,57,199,3.7
V026643,2023-11-14,996.12,1117.51,121.39,Dock Station,Periféricos,Dell,Venda Direta,Nordeste,Eduardo Rocha,13,184,4.9
V026644,2024-03-07,1330.45,1418.55,88.1,Monitor,Periféricos,Dell,E-commerce,Sudeste,Daniela Souza,16,173,2.0
V026645,2024-11-13,415.26,516.16,100.9,Webcam,Periféricos,HP,Loja Física,Nordeste,Bruno Lima,56,3,4.9
V026646,2023-02-23,971.22,1175.33,204.11,TV Box,Áudio e Vídeo,Bose,Venda Direta,Norte,Ana Costa,26,6,1.0
V026647,2023-05-23,277.22,306.2,28.98,Fone de Ouvido,Áudio e Vídeo,Sony,E-commerce,Sudeste,Ana Costa,97,198,4.5
V026648,2023-06-29,168.03,198.58,30.55,Teclado,Periféricos,Dell,Loja Física,Sul,Fernanda Alves,2,27,4.1
V026649,2024-04-03,617.37,765.98,148.61,Fonte de Alimentação,Componentes,AMD,E-commerce,Norte,Carlos Silva,79,21,3.1
V026650,2023-04-14,310.28,343.83,33.55,Microfone,Áudio e Vídeo,Philips,Marketplace,Sudeste,Bruno Lima,84,156,4.9
V026651,2023-11-27,133.44,164.47,31.03,Fone de Ouvido,Áudio e Vídeo,Philips,E-commerce,Sul,Fernanda Alves,4,1,4.4
V026652,2024-06-11,1080.67,1457.64,376.97,Placa Mãe,Componentes,AMD,Venda Direta,Centro-Oeste,Daniela Souza,64,138,2.1
V026653,2023-06-02,108.59,133.67,25.08,Hub USB,Acessórios,Baseus,Venda Direta,Nordeste,Eduardo Rocha,53,53,4.1
V026654,2023-07-16,4071.91,5394.0,1322.09,Smartphone,Eletrônicos,Xiaomi,Venda Direta,Sudeste,Fernanda Alves,19,153,1.2
V026655,2023-09-22,144.65,172.77,28.12,Mouse,Periféricos,HP,E-commerce,Centro-Oeste,Ana Costa,1,199,4.2
V026656,2023-03-15,191.94,234.59,42.65,Dock Station,Periféricos,Dell,E-commerce,Centro-Oeste,Eduardo Rocha,95,168,1.4
V026657,2025-02-16,318.55,411.95,93.4,Ring Light,Acessórios,Anker,E-commerce,Nordeste,Eduardo Rocha,77,42,1.3
V026658,2024-07-31,733.44,1042.79,309.35,Caixa de Som,Áudio e Vídeo,Philips,Venda Direta,Sul,Eduardo Rocha,35,153,4.0
V026659,2024-04-19,3338.84,4021.09,682.25,Placa de Vídeo,Componentes,Intel,E-commerce,Centro-Oeste,Ana Costa,30,127,4.9
V026660,2023-11-05,103.88,134.16,30.28,Pen Drive,Armazenamento,Kingston,E-commerce,Centro-Oeste,Carlos Silva,60,197,2.7
V026661,2025-03-04,494.38,646.66,152.28,Controle de Videogame,Acessórios,Anker,Marketplace,Sudeste,Eduardo Rocha,93,142,3.7
V026662,2024-11-17,67.13,79.06,11.93,Memória RAM,Componentes,Corsair,Venda Direta,Sul,Daniela Souza,46,142,1.3
V026663,2024-04-10,408.92,551.02,142.1,SSD,Armazenamento,Western Digital,Loja Física,Sul,Ana Costa,80,157,5.0
V026664,2024-04-18,218.32,259.52,41.2,Scanner,Periféricos,HP,Venda Direta,Centro-Oeste,Fernanda Alves,65,98,2.8
V026665,2023-07-18,402.78,536.9,134.12,Scanner,Periféricos,Logitech,Marketplace,Sul,Bruno Lima,11,33,2.4
V026666,2024-11-01,141.84,144.58,2.74,Fone de Ouvido,Áudio e Vídeo,Philips,Venda Direta,Sudeste,Eduardo Rocha,81,57,3.8
V026667,2023-08-28,353.97,418.22,64.25,Smartwatch,Eletrônicos,Xiaomi,Loja Física,Sul,Ana Costa,92,82,4.6
V026668,2024-08-03,389.53,454.97,65.44,No-Break,Componentes,AMD,E-commerce,Sul,Eduardo Rocha,50,8,2.0
V026669,2024-09-05,927.52,1091.91,164.39,Switch de Rede,Rede,Cisco,Loja Física,Sudeste,Daniela Souza,84,192,4.7
V026670,2024-05-26,468.3,573.38,105.08,Carregador Portátil,Acessórios,Genérico,Marketplace,Sudeste,Bruno Lima,4,158,3.2
V026671,2024-08-09,198.9,217.11,18.21,Leitor de Cartão,Acessórios,Baseus,Marketplace,Norte,Ana Costa,33,17,1.6
V026672,2023-07-22,622.23,623.19,0.96,Memória RAM,Componentes,NVIDIA,Marketplace,Sudeste,Fernanda Alves,6,166,4.8
V026673,2023-01-21,3633.12,4313.17,680.05,Projetor,Áudio e Vídeo,Sony,Loja Física,Sul,Fernanda Alves,4,144,1.4
V026674,2023-04-07,1526.91,1603.06,76.15,Processador,Componentes,Corsair,E-commerce,Nordeste,Carlos Silva,52,74,3.3
V026675,2024-01-14,152.14,157.52,5.38,Mouse,Periféricos,Dell,Loja Física,Nordeste,Eduardo Rocha,43,138,1.7
V026676,2024-11-30,661.39,817.71,156.32,No-Break,Componentes,Corsair,Marketplace,Sudeste,Ana Costa,14,88,4.4
V026677,2025-02-09,510.95,588.04,77.09,Estabilizador,Componentes,Corsair,Loja Física,Sul,Carlos Silva,82,113,1.7
V026678,2024-02-04,679.67,790.82,111.15,Roteador,Rede,Cisco,E-commerce,Centro-Oeste,Eduardo Rocha,5,50,3.9
V026679,2023-09-08,793.28,973.73,180.45,Placa Mãe,Componentes,AMD,Venda Direta,Centro-Oeste,Eduardo Rocha,13,194,2.7
V026680,2024-11-07,296.68,355.82,59.14,Gabinete,Componentes,Intel,Loja Física,Sudeste,Bruno Lima,36,142,3.7
V026681,2023-03-05,807.93,912.84,104.91,Scanner,Periféricos,Multilaser,E-commerce,Sul,Ana Costa,82,116,2.5
V026682,2025-01-27,1256.61,1438.76,182.15,No-Break,Componentes,NVIDIA,Marketplace,Norte,Bruno Lima,91,16,2.2
V026683,2023-04-21,110.64,132.37,21.73,Webcam,Periféricos,Multilaser,Marketplace,Nordeste,Bruno Lima,59,179,1.7
V026684,2023-07-27,1053.64,1385.65,332.01,Smartwatch,Eletrônicos,LG,Venda Direta,Sul,Bruno Lima,58,80,1.3
V026685,2024-07-07,1156.26,1478.5,322.24,Monitor,Periféricos,Logitech,Loja Física,Centro-Oeste,Carlos Silva,37,121,3.8
V026686,2025-04-24,4183.94,4513.6,329.66,Smartphone,Eletrônicos,Xiaomi,Marketplace,Norte,Fernanda Alves,39,152,3.4
V026687,2023-06-27,796.72,836.29,39.57,TV Box,Áudio e Vídeo,Bose,E-commerce,Sul,Eduardo Rocha,76,184,1.9
V026688,2025-04-01,2299.23,2467.06,167.83,Processador,Componentes,NVIDIA,Loja Física,Nordeste,Daniela Souza,66,89,4.6
V026689,2023-11-20,566.84,638.24,71.4,Scanner,Periféricos,Logitech,E-commerce,Sul,Carlos Silva,27,128,2.7
V026690,2025-03-14,284.45,288.55,4.1,HD Externo,Armazenamento,Kingston,Loja Física,Sudeste,Bruno Lima,84,72,4.7
V026691,2023-09-25,322.37,335.83,13.46,Webcam,Periféricos,Logitech,Venda Direta,Nordeste,Fernanda Alves,87,10,3.7
V026692,2023-04-08,181.92,253.62,71.7,Ring Light,Acessórios,Belkin,E-commerce,Centro-Oeste,Carlos Silva,78,110,1.7
V026693,2024-07-25,322.41,443.14,120.73,Webcam,Periféricos,Dell,Marketplace,Sudeste,Fernanda Alves,77,85,4.9
V026694,2024-12-10,1438.1,1516.92,78.82,No-Break,Componentes,Intel,Marketplace,Sudeste,Eduardo Rocha,32,136,2.3
V026695,2024-06-08,114.52,116.53,2.01,Leitor de Cartão,Acessórios,Baseus,Venda Direta,Norte,Bruno Lima,75,4,3.5
V026696,2023-04-25,504.75,580.4,75.65,Scanner,Periféricos,HP,Loja Física,Sul,Fernanda Alves,64,81,1.8
V026697,2024-07-05,170.24,180.49,10.25,Gabinete,Componentes,Corsair,Loja Física,Centro-Oeste,Bruno Lima,86,125,2.0
V026698,2023-12-12,209.59,265.75,56.16,Tripé,Acessórios,Anker,E-commerce,Sudeste,Bruno Lima,25,64,4.2
V026699,2023-09-16,3025.6,3464.23,438.63,Tablet,Eletrônicos,LG,Marketplace,Centro-Oeste,Fernanda Alves,96,4,2.9
V026700,2025-04-15,361.4,477.22,115.82,Switch de Rede,Rede,Cisco,Loja Física,Norte,Fernanda Alves,1,104,4.0
V026701,2023-11-21,1461.21,1570.63,109.42,No-Break,Componentes,AMD,E-commerce,Sudeste,Ana Costa,26,157,3.0
V026702,2023-03-08,475.48,551.33,75.85,Fone de Ouvido,Áudio e Vídeo,JBL,Venda Direta,Sudeste,Eduardo Rocha,14,69,3.7
V026703,2023-09-15,67.06,86.98,19.92,Hub USB,Acessórios,Genérico,Venda Direta,Sudeste,Eduardo Rocha,56,94,2.3
V026704,2023-05-21,501.94,714.23,212.29,Câmera,Áudio e Vídeo,Philips,Marketplace,Sul,Ana Costa,39,86,1.5
V026705,2023-03-13,562.87,649.94,87.07,Dock Station,Periféricos,Dell,E-commerce,Sul,Ana Costa,92,161,1.8
V026706,2024-04-26,166.63,186.81,20.18,Teclado,Periféricos,Dell,E-commerce,Centro-Oeste,Bruno Lima,27,29,2.5
V026707,2025-04-26,1792.72,2055.4,262.68,Projetor,Áudio e Vídeo,Bose,Marketplace,Norte,Daniela Souza,7,45,1.8
V026708,2024-12-13,101.88,119.85,17.97,Webcam,Periféricos,Multilaser,Loja Física,Centro-Oeste,Fernanda Alves,24,135,1.1
V026709,2024-06-19,748.87,795.22,46.35,SSD,Armazenamento,SanDisk,Loja Física,Norte,Daniela Souza,14,117,1.0
V026710,2025-02-13,1037.32,1233.94,196.62,Câmera,Áudio e Vídeo,Bose,Loja Física,Sul,Ana Costa,47,85,1.9
V026711,2024-05-29,428.82,593.03,164.21,Ring Light,Acessórios,Baseus,Loja Física,Nordeste,Bruno Lima,93,81,5.0
V026712,2023-01-10,101.78,106.07,4.29,Switch de Rede,Rede,Ubiquiti,E-commerce,Norte,Carlos Silva,79,134,1.5
V026713,2023-02-09,616.07,764.53,148.46,Placa Mãe,Componentes,AMD,Loja Física,Sudeste,Ana Costa,8,62,3.4
V026714,2025-03-25,907.09,1223.1,316.01,Smartwatch,Eletrônicos,Apple,Venda Direta,Norte,Daniela Souza,81,45,3.2
V026715,2024-01-29,808.35,1131.76,323.41,No-Break,Componentes,NVIDIA,Loja Física,Nordeste,Fernanda Alves,27,153,2.6
V026716,2025-01-31,344.49,391.68,47.19,Tripé,Acessórios,Anker,Loja Física,Centro-Oeste,Eduardo Rocha,56,33,2.9
